dest_code,dest_city
BLR,Bangalore
MAA,Chennai
BOM,Mumbai
TRV,Trivandrum
STV,Surat
VNS,Varanasi
HYD,Hyderabad
KNU,Kanpur
ATQ,Amritsar
DEL,New Delhi
CJB,Coimbatore
AMD,Ahmedabad
BHO,Bhopal
GOI,Goa
UDR,Udaipur
COK,Kochi
GAU,Guwahati
IXA,Agartala
IXB,Bagdogra
IXZ,Port Blair
JLR,Jabalpur
AGX,Agatti
CCU,Kolkata
GOP,Gorakhpur
IXL,Leh
CCJ,Kozhikode
NAG,Nagpur
PNQ,Pune
RAJ,Rajkot
DIB,Dibrugarh
GAY,Gaya
IMF,Imphal
SXR,Srinagar
LKO,Lucknow
JAI,Jaipur
HBX,Hubli
IXE,Mangalore
PAT,Patna
IXC,Chandigarh
IXR,Ranchi
VGA,Vijayawada
DED,Dehra Dun
IDR,Indore
TRZ,Tiruchirappalli
BDQ,Vadodara
JDH,Jodhpur
DIU,Diu
IXU,Aurangabad
SHL,Shillong
