origin_code,origin_city
IXM,Madurai
GOI,Goa
AMD,Ahmedabad
ATQ,Amritsar
BLR,Bangalore
BBI,Bhubaneswar
BDQ,Vadodara
BHO,Bhopal
BKB,Bikaner
BOM,Mumbai
CCJ,Kozhikode
CCU,Kolkata
IXC,Chandigarh
MAA,Chennai
CJB,Coimbatore
DED,Dehra Dun
DEL,New Delhi
GAU,Guwahati
GAY,Gaya
HBX,Hubli
HYD,Hyderabad
IDR,Indore
IMF,Imphal
ISK,Nashik
IXL,Leh
SXR,Srinagar
IXR,Ranchi
JAI,Jaipur
CNN,Kannur
LKO,Lucknow
IXE,Mangalore
NAG,Nagpur
PAT,Patna
PNQ,Pune
RPR,Raipur
SHL,Shillong
STV,Surat
TRV,Trivandrum
VNS,Varanasi
VGA,Vijayawada
VTZ,Visakhapatnam
